"STATION","NAME","DATE","TMAX"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-07-24","72"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-07-25","75"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-07-26","69"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-07-27","61"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-07-28","62"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-07-29","56"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-07-30","60"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-07-31","73"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-08-01","73"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-08-02","75"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-08-03","55"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-08-04","52"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-08-05","57"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-08-06","54"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-08-07","55"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-08-08","56"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-08-09","57"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-08-10","60"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-08-11","67"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-08-12","65"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-08-13","59"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-08-14","69"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-08-15","70"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-08-16","68"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-08-17","79"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-08-18","76"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-08-19","80"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-08-20","62"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-08-21","67"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-08-22","67"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-08-23","66"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-08-24","64"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-08-25","56"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-08-26","54"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-08-27","54"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-08-28","62"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-08-29","63"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-08-30","61"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-08-31","66"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-09-01","72"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-09-02","72"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-09-03","74"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-09-04","69"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-09-05","74"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-09-06","71"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-09-07","67"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-09-08","66"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-09-09","73"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-09-10","74"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-09-11","66"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-09-12","72"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-09-13","64"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-09-14","67"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-09-15","71"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-09-16","76"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-09-17","79"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-09-18","73"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-09-19","71"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-09-20","71"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-09-21","71"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-09-22","70"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-09-23","68"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-09-24","72"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-09-25","75"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-09-26","75"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-09-27","67"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-09-28","71"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-09-29","67"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-09-30","67"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-10-01","61"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-10-02","73"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-10-03","73"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-10-04","80"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-10-05","65"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-10-06","61"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-10-07","62"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-10-08","64"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-10-09","66"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-10-10","68"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-10-11","64"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-10-12","68"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-10-13","72"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-10-14","75"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-10-15","77"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-10-16","69"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-10-17","76"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-10-18","74"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-10-19","69"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-10-20","67"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-10-21","73"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-10-22","76"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-10-23","78"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-10-24","76"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-10-25","80"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-10-26","67"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-10-27","60"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-10-28","68"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-10-29","72"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-10-30","80"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-10-31","69"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-11-01","73"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-11-02","81"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-11-03","83"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-11-04","82"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-11-05","80"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-11-06","82"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-11-07","84"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-11-08","81"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-11-09","76"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-11-10","69"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-11-11","72"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-11-12","68"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-11-13","75"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-11-14","76"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-11-15","78"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-11-16","77"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-11-17","74"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-11-18","67"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-11-19","69"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-11-20","70"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-11-21","64"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-11-22","65"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-11-23","68"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-11-24","72"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-11-25","74"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-11-26","67"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-11-27","82"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-11-28","76"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-11-29","82"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-11-30","75"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-12-01","72"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-12-02","72"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-12-03","71"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-12-04","80"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-12-05","82"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-12-06","85"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-12-07","88"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-12-08","85"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-12-09","88"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-12-10","81"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-12-11","82"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-12-12","84"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-12-13","90"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-12-14","78"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-12-15","79"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-12-16","88"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-12-17","84"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-12-18","79"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-12-19","88"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-12-20","82"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-12-21","79"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-12-22","87"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-12-23","95"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-12-24","94"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-12-25","90"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-12-26","93"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-12-27","85"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-12-28","77"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-12-29","81"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-12-30","81"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-12-31","74"
"AR000875850","BUENOS AIRES OBSERV, AR","1971-01-01","83"
"AR000875850","BUENOS AIRES OBSERV, AR","1971-01-02","88"
"AR000875850","BUENOS AIRES OBSERV, AR","1971-01-03","87"
"AR000875850","BUENOS AIRES OBSERV, AR","1971-01-04","88"
"AR000875850","BUENOS AIRES OBSERV, AR","1971-01-05","84"
"AR000875850","BUENOS AIRES OBSERV, AR","1971-01-06","87"
"AR000875850","BUENOS AIRES OBSERV, AR","1971-01-07","82"
"AR000875850","BUENOS AIRES OBSERV, AR","1971-01-08","80"
"AR000875850","BUENOS AIRES OBSERV, AR","1971-01-09","75"
"AR000875850","BUENOS AIRES OBSERV, AR","1971-01-10","72"
"AR000875850","BUENOS AIRES OBSERV, AR","1971-01-11","72"
"AR000875850","BUENOS AIRES OBSERV, AR","1971-01-12","70"
"AR000875850","BUENOS AIRES OBSERV, AR","1971-01-13","83"
"AR000875850","BUENOS AIRES OBSERV, AR","1971-01-14","93"
"AR000875850","BUENOS AIRES OBSERV, AR","1971-01-15","92"
"AR000875850","BUENOS AIRES OBSERV, AR","1971-01-16","92"
"AR000875850","BUENOS AIRES OBSERV, AR","1971-01-17","90"
"AR000875850","BUENOS AIRES OBSERV, AR","1971-01-18","88"
"AR000875850","BUENOS AIRES OBSERV, AR","1971-01-19","78"
"AR000875850","BUENOS AIRES OBSERV, AR","1971-01-20","87"
"AR000875850","BUENOS AIRES OBSERV, AR","1971-01-21","81"
"AR000875850","BUENOS AIRES OBSERV, AR","1971-01-22","89"
"AR000875850","BUENOS AIRES OBSERV, AR","1971-01-23","84"
"AR000875850","BUENOS AIRES OBSERV, AR","1971-01-24","78"
"AR000875850","BUENOS AIRES OBSERV, AR","1971-01-25","77"
"AR000875850","BUENOS AIRES OBSERV, AR","1971-01-26","90"
"AR000875850","BUENOS AIRES OBSERV, AR","1971-01-27","80"
"AR000875850","BUENOS AIRES OBSERV, AR","1971-01-28","85"
"AR000875850","BUENOS AIRES OBSERV, AR","1971-01-29","84"
"AR000875850","BUENOS AIRES OBSERV, AR","1971-01-30","75"
"AR000875850","BUENOS AIRES OBSERV, AR","1971-01-31","79"
"AR000875850","BUENOS AIRES OBSERV, AR","1971-02-01","79"
